campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Santa Cruz,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.25,3.54,
Santa Cruz,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.72,
Santa Cruz,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.52,3.76,
Santa Cruz,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.70,
Santa Cruz,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,3.75,
Santa Cruz,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.73,
Santa Cruz,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.43,3.76,
Santa Cruz,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.82,
Santa Cruz,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.84,
Santa Cruz,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.76,
Santa Cruz,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.70,3.90,
Santa Cruz,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.71,3.96,
Santa Cruz,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.70,4.00,
Santa Cruz,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,4.11,
Santa Cruz,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,4.00,
Santa Cruz,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.82,4.05,
Santa Cruz,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,4.01,
Universitywide,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.57,3.71,3.66
Universitywide,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.59,3.61
Universitywide,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.54,3.48
Universitywide,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.51,3.66,3.58
Universitywide,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.51,3.64,3.62
Universitywide,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.57,3.54
Universitywide,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.48,3.60,3.58
Universitywide,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.50,3.56,3.59
Universitywide,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.44,3.50,3.47
Universitywide,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.44,3.49,3.51
Universitywide,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.53,3.62,3.61
Universitywide,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.55,3.62,3.71
Universitywide,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.48,3.54,3.51
Universitywide,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.45,3.54,3.53
Universitywide,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.56,3.60,3.62
Universitywide,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.45,3.54,3.63
Universitywide,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.61,3.69,3.79
Universitywide,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,3.83,3.80
Universitywide,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.72,3.92,3.95
Universitywide,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.71,3.85,3.74
Universitywide,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.81,3.70
Universitywide,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,3.89,3.90
Universitywide,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.74,3.90,3.90
Universitywide,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.80,3.91,3.95
Universitywide,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.86,3.93,3.98
Universitywide,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,3.99,4.05
Universitywide,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,3.94,3.91
Universitywide,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.82,4.01,4.02
Universitywide,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.96,4.09,4.10
Universitywide,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.87,3.96,3.96
Universitywide,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.90,4.01,4.08
Universitywide,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.89,3.92,4.03
