campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Davis,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,4.00,3.82
Davis,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.62,3.94,
Davis,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.76,4.01,3.99
Davis,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.86,4.02,
Davis,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.79,4.05,
Davis,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.80,4.12,
Davis,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,4.06,
Davis,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,4.05,
Davis,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.96,4.17,4.12
Davis,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.86,4.12,4.02
Davis,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.92,4.14,
Davis,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.89,4.06,
Irvine,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.65,3.57
Irvine,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.49,3.62,3.52
Irvine,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.37,3.52,3.35
Irvine,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.42,3.68,3.51
Irvine,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.68,3.49
Irvine,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.43,3.65,3.43
Irvine,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.46,3.65,3.53
Irvine,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.51,3.70,3.64
Irvine,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.56,3.34
Irvine,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.66,3.50
Irvine,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,3.67,3.46
Irvine,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.62,3.80,3.75
Irvine,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.44,3.58,3.41
Irvine,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.41,3.65,3.61
Irvine,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.52,3.80,3.60
Irvine,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.47,3.90,3.64
Irvine,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,4.00,3.79
Irvine,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.61,3.85,3.68
Irvine,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.74,4.07,
Irvine,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,3.88,3.50
Irvine,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.60,3.92,3.86
Irvine,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.60,4.14,
Irvine,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,4.05,
Irvine,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,3.99,
Irvine,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,4.03,3.92
Irvine,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.76,4.16,
Irvine,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,3.90,3.74
Irvine,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.84,4.14,4.07
Irvine,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.97,4.16,4.04
Irvine,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.88,4.10,4.02
Irvine,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.90,4.14,4.00
Irvine,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.86,4.11,4.02
Los Angeles,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.73,3.88,3.73
Los Angeles,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.85,3.67
Los Angeles,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.51,3.84,3.80
Los Angeles,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,3.96,3.77
Los Angeles,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,3.97,3.82
Los Angeles,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.51,3.94,
Los Angeles,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.61,3.89,3.62
Los Angeles,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.63,3.97,3.77
Los Angeles,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.52,3.82,3.60
Los Angeles,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.58,3.98,3.60
Los Angeles,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.67,3.88,3.68
Los Angeles,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.94,3.83
Los Angeles,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.54,3.82,3.47
Los Angeles,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.56,4.05,3.94
Los Angeles,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.62,4.01,3.86
Los Angeles,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.60,3.97,3.86
Los Angeles,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.68,4.13,4.08
Los Angeles,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.72,4.10,3.99
Los Angeles,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,4.13,4.14
Los Angeles,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.85,4.11,3.79
Los Angeles,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,3.99,3.83
Los Angeles,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.75,4.16,
Los Angeles,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.82,4.18,4.16
